message,severity,node,stamp,location
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.544445])","30","turtlesim3.sim","1727360720.412207545","/home/cerberus/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.544445])","30","turtlesim3.sim","1727360720.395863324","/home/cerberus/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.544445])","30","turtlesim3.sim","1727360720.380516658","/home/cerberus/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.544445])","30","turtlesim3.sim","1727360720.364158855","/home/cerberus/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.544445])","30","turtlesim3.sim","1727360720.347783943","/home/cerberus/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.544445])","30","turtlesim3.sim","1727360720.332255796","/home/cerberus/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.544445])","30","turtlesim2.sim","1727360720.330935164","/home/cerberus/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.544445])","30","turtlesim3.sim","1727360720.315880068","/home/cerberus/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.544445])","30","turtlesim2.sim","1727360720.315480012","/home/cerberus/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.544445])","30","turtlesim1.sim","1727360720.314974842","/home/cerberus/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.544445])","30","turtlesim3.sim","1727360720.300440639","/home/cerberus/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.544445])","30","turtlesim2.sim","1727360720.299017229","/home/cerberus/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.544445])","30","turtlesim1.sim","1727360720.298511184","/home/cerberus/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.544445])","30","turtlesim3.sim","1727360720.284065249","/home/cerberus/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.544445])","30","turtlesim1.sim","1727360720.283091345","/home/cerberus/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.544445])","30","turtlesim2.sim","1727360720.282574464","/home/cerberus/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.544445])","30","turtlesim3.sim","1727360720.267733980","/home/cerberus/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.544445])","30","turtlesim2.sim","1727360720.267087250","/home/cerberus/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.544445])","30","turtlesim1.sim","1727360720.266567492","/home/cerberus/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.544445])","30","turtlesim3.sim","1727360720.252256360","/home/cerberus/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.544445])","30","turtlesim1.sim","1727360720.251005749","/home/cerberus/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.544445])","30","turtlesim2.sim","1727360720.250595292","/home/cerberus/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.544445])","30","turtlesim3.sim","1727360720.235803226","/home/cerberus/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.544445])","30","turtlesim2.sim","1727360720.235092272","/home/cerberus/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.544445])","30","turtlesim1.sim","1727360720.234508513","/home/cerberus/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.544445])","30","turtlesim3.sim","1727360720.220425806","/home/cerberus/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.544445])","30","turtlesim1.sim","1727360720.219007256","/home/cerberus/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.544445])","30","turtlesim2.sim","1727360720.218626236","/home/cerberus/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.544445])","30","turtlesim3.sim","1727360720.204061291","/home/cerberus/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.544445])","30","turtlesim1.sim","1727360720.203470983","/home/cerberus/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.544445])","30","turtlesim2.sim","1727360720.203170334","/home/cerberus/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.544445])","30","turtlesim3.sim","1727360720.187680405","/home/cerberus/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.544445])","30","turtlesim1.sim","1727360720.186896059","/home/cerberus/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.544445])","30","turtlesim2.sim","1727360720.186733947","/home/cerberus/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.112445, y=5.544445])","30","turtlesim3.sim","1727360720.171957354","/home/cerberus/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.544445])","30","turtlesim1.sim","1727360720.171292408","/home/cerberus/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.544445])","30","turtlesim2.sim","1727360720.171250094","/home/cerberus/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.544445])","30","turtlesim1.sim","1727360720.154781104","/home/cerberus/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.544445])","30","turtlesim2.sim","1727360720.154766225","/home/cerberus/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.544445])","30","turtlesim2.sim","1727360720.139300872","/home/cerberus/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.544445])","30","turtlesim1.sim","1727360720.139273839","/home/cerberus/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.544445])","30","turtlesim2.sim","1727360720.122812898","/home/cerberus/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.544445])","30","turtlesim1.sim","1727360720.122706626","/home/cerberus/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.544445])","30","turtlesim2.sim","1727360720.107306718","/home/cerberus/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.544445])","30","turtlesim1.sim","1727360720.107144424","/home/cerberus/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.112445, y=5.544445])","30","turtlesim2.sim","1727360720.090661667","/home/cerberus/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120889, y=5.544445])","30","turtlesim1.sim","1727360720.090624345","/home/cerberus/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.112445, y=5.544445])","30","turtlesim1.sim","1727360720.074817045","/home/cerberus/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
